name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
trivial,triv-,2,1,1,1,1,1,0,1:1,equalized,2,1,0,1,0.500000,0
trivial,triv-,2,1,1,1,2,1,1,2:1,basic,3,1,0,2,0.666667,0
trivial,triv-,2,1,1,1,3,1,2,3:1,hard,4,1,0,3,0.750000,0
trivial,triv-,2,1,1,1,3,2,2,3:2,soft,5,1,0,3,0.600000,0
trivial,triv-,2,1,1,1,4,1,3,4:1,superhard,5,1,0,4,0.800000,0
trivial,triv-,2,1,1,1,4,3,3,4:3,supersoft,7,1,0,4,0.571429,0
trivial,triv-,2,1,1,1,5,2,3,5:2,semihard,7,1,0,5,0.714286,0
trivial,triv-,2,1,1,1,5,3,3,5:3,semisoft,8,1,0,5,0.625000,0
antrial,atri-,3,1,2,1,1,1,0,1:1,equalized,3,1,1,2,0.666667,1
antrial,atri-,3,1,2,1,2,1,1,2:1,basic,4,1,1,3,0.750000,1
antrial,atri-,3,1,2,1,3,1,2,3:1,hard,5,1,1,4,0.800000,1
antrial,atri-,3,1,2,1,3,2,2,3:2,soft,7,1,1,5,0.714286,1
antrial,atri-,3,1,2,1,4,1,3,4:1,superhard,6,1,1,5,0.833333,1
antrial,atri-,3,1,2,1,4,3,3,4:3,supersoft,10,1,1,7,0.700000,1
antrial,atri-,3,1,2,1,5,2,3,5:2,semihard,9,1,1,7,0.777778,1
antrial,atri-,3,1,2,1,5,3,3,5:3,semisoft,11,1,1,8,0.727273,1
trial,tri-,3,2,1,1,1,1,0,1:1,equalized,3,1,0,1,0.333333,1
trial,tri-,3,2,1,1,2,1,1,2:1,basic,5,1,0,2,0.400000,1
trial,tri-,3,2,1,1,3,1,2,3:1,hard,7,1,0,3,0.428571,1
trial,tri-,3,2,1,1,3,2,2,3:2,soft,8,1,0,3,0.375000,1
trial,tri-,3,2,1,1,4,1,3,4:1,superhard,9,1,0,4,0.444444,1
trial,tri-,3,2,1,1,4,3,3,4:3,supersoft,11,1,0,4,0.363636,1
trial,tri-,3,2,1,1,5,2,3,5:2,semihard,12,1,0,5,0.416667,1
trial,tri-,3,2,1,1,5,3,3,5:3,semisoft,13,1,0,5,0.384615,1
antetric,atetra-,4,1,3,1,1,1,0,1:1,equalized,4,1,2,3,0.750000,2
antetric,atetra-,4,1,3,1,2,1,1,2:1,basic,5,1,2,4,0.800000,2
antetric,atetra-,4,1,3,1,3,1,2,3:1,hard,6,1,2,5,0.833333,2
antetric,atetra-,4,1,3,1,3,2,2,3:2,soft,9,1,2,7,0.777778,2
antetric,atetra-,4,1,3,1,4,1,3,4:1,superhard,7,1,2,6,0.857143,2
antetric,atetra-,4,1,3,1,4,3,3,4:3,supersoft,13,1,2,10,0.769231,2
antetric,atetra-,4,1,3,1,5,2,3,5:2,semihard,11,1,2,9,0.818182,2
antetric,atetra-,4,1,3,1,5,3,3,5:3,semisoft,14,1,2,11,0.785714,2
biwood,biwd-,4,2,2,2,1,1,0,1:1,equalized,4,1,0,1,0.500000,0
biwood,biwd-,4,2,2,2,2,1,1,2:1,basic,6,1,0,2,0.666667,0
biwood,biwd-,4,2,2,2,3,1,2,3:1,hard,8,1,0,3,0.750000,0
biwood,biwd-,4,2,2,2,3,2,2,3:2,soft,10,1,0,3,0.600000,0
biwood,biwd-,4,2,2,2,4,1,3,4:1,superhard,10,1,0,4,0.800000,0
biwood,biwd-,4,2,2,2,4,3,3,4:3,supersoft,14,1,0,4,0.571429,0
biwood,biwd-,4,2,2,2,5,2,3,5:2,semihard,14,1,0,5,0.714286,0
biwood,biwd-,4,2,2,2,5,3,3,5:3,semisoft,16,1,0,5,0.625000,0
tetric,tetra-,4,3,1,1,1,1,0,1:1,equalized,4,1,0,1,0.250000,2
tetric,tetra-,4,3,1,1,2,1,1,2:1,basic,7,1,0,2,0.285714,2
tetric,tetra-,4,3,1,1,3,1,2,3:1,hard,10,1,0,3,0.300000,2
tetric,tetra-,4,3,1,1,3,2,2,3:2,soft,11,1,0,3,0.272727,2
tetric,tetra-,4,3,1,1,4,1,3,4:1,superhard,13,1,0,4,0.307692,2
tetric,tetra-,4,3,1,1,4,3,3,4:3,supersoft,15,1,0,4,0.266667,2
tetric,tetra-,4,3,1,1,5,2,3,5:2,semihard,17,1,0,5,0.294118,2
