name,prefix,steps,nL,ns,gcd
trivial,triv-,2,1,1,1
antrial,atri-,3,1,2,1
trial,tri-,3,2,1,1
antetric,atetra-,4,1,3,1
biwood,biwd-,4,2,2,2
tetric,tetra-,4,3,1,1
pedal,ped-,5,1,4,1
pentic,pent-,5,2,3,1
antipentic,apent-,5,3,2,1
manual,manu-,5,4,1,1
antimachinoid,amech-,6,1,5,1
malic,mal-,6,2,4,2
triwood,triwd-,6,3,3,3
citric,citro-,6,4,2,2
machinoid,mech-,6,5,1,1
onyx,on-,7,1,6,1
antidiatonic,pel-,7,2,5,1
mosh,mosh-,7,3,4,1
smitonic,smi-,7,4,3,1
diatonic,dia-,7,5,2,1
archaeotonic,arch-,7,6,1,1
antipine,apine-,8,1,7,1
subaric,subar-,8,2,6,2
checkertonic,check-,8,3,5,1
tetrawood,tetrawd-,8,4,4,4
oneirotonic,oneiro-,8,5,3,1
ekic,ek-,8,6,2,2
pine,pine-,8,7,1,1
antisubneutralic,ablu-,9,1,8,1
balzano,bal-,9,2,7,1
tcherepnin,cher-,9,3,6,3
gramitonic,gram-,9,4,5,1
semiquartal,cthon-,9,5,4,1
hyrulic,hyru-,9,6,3,3
armotonic,arm-,9,7,2,1
subneutralic,blu-,9,8,1,1
antisinatonic,asina-,10,1,9,1
jaric,jara-,10,2,8,2
sephiroid,seph-,10,3,7,1
lime,lime-,10,4,6,2
pentawood,pentawd-,10,5,5,5
lemon,lem-,10,6,4,2
dicoid,dico-,10,7,3,1
taric,tara-,10,8,2,2
sinatonic,sina-,10,9,1,1
